material_id,formula_pretty,chemsys_query,host_id,mix_site,label,is_stable,energy_above_hull,classical_t,wtf,sigma_A,sigma_B,delta_q,r_A_eff,r_B_eff,q_A_eff,q_B_eff,A_elements,A_amounts,B_elements,B_amounts,normalized_composition
mp-1228076,Ba4Sr(SnO3)5,Ba-O-Sn-Sr,Ba-O-Sn-Sr,A,1,False,0.010956773499999,1.0183690963500038,1.0068659238330937,0.068,0.0,0.0,1.5760000000000003,0.69,2.0,4.0,"[""Ba"", ""Sr""]","[0.8, 0.2]","[""Sn""]",[1.0],"{""Ba"": 0.8, ""Sr"": 0.2, ""Sn"": 1.0, ""O"": 3.0}"
mp-1228101,Ba4Sr(SnO3)5,Ba-O-Sn-Sr,Ba-O-Sn-Sr,A,1,False,0.011592231499998,1.0183690963500038,1.0068659238330937,0.068,0.0,0.0,1.5760000000000003,0.69,2.0,4.0,"[""Ba"", ""Sr""]","[0.8, 0.2]","[""Sn""]",[1.0],"{""Ba"": 0.8, ""Sr"": 0.2, ""Sn"": 1.0, ""O"": 3.0}"
mp-1227736,BaSr(SnO3)2,Ba-O-Sn-Sr,Ba-O-Sn-Sr,A,1,False,0.02830617575,1.0183690963500038,0.989611165057728,0.085,0.0,0.0,1.525,0.69,2.0,4.0,"[""Ba"", ""Sr""]","[0.5, 0.5]","[""Sn""]",[1.0],"{""Ba"": 0.5, ""Sr"": 0.5, ""Sn"": 1.0, ""O"": 3.0}"
mp-1227742,BaSr(SnO3)2,Ba-O-Sn-Sr,Ba-O-Sn-Sr,A,1,False,0.024053922749999,1.0183690963500038,0.989611165057728,0.085,0.0,0.0,1.525,0.69,2.0,4.0,"[""Ba"", ""Sr""]","[0.5, 0.5]","[""Sn""]",[1.0],"{""Ba"": 0.5, ""Sr"": 0.5, ""Sn"": 1.0, ""O"": 3.0}"
mp-1227830,BaSr2(SnO3)3,Ba-O-Sn-Sr,Ba-O-Sn-Sr,A,1,False,0.011656806666664,0.9608532337654522,0.9800251879603028,0.0801387685344754,0.0,0.0,1.4966666666666666,0.69,2.0,4.0,"[""Ba"", ""Sr""]","[0.3333333333333333, 0.6666666666666666]","[""Sn""]",[1.0],"{""Ba"": 0.3333333333333333, ""Sr"": 0.6666666666666666, ""Sn"": 1.0, ""O"": 3.0}"
mp-1075943,Ba3Sr5Ti8O24,Ba-O-Sr-Ti,Ba-O-Sr-Ti,A,1,False,0.007813589499999,1.001587660134561,1.0240704817308912,0.0823008961069076,0.0,0.0,1.50375,0.605,2.0,4.0,"[""Ba"", ""Sr""]","[0.375, 0.625]","[""Ti""]",[1.0],"{""Ba"": 0.375, ""Sr"": 0.625, ""Ti"": 1.0, ""O"": 3.0}"
mp-1227688,BaSr3Ti4O12,Ba-O-Sr-Ti,Ba-O-Sr-Ti,A,1,False,0.0037099405,1.001587660134561,1.016576207865448,0.0736121593216773,0.0,0.0,1.4825000000000002,0.605,2.0,4.0,"[""Ba"", ""Sr""]","[0.25, 0.75]","[""Ti""]",[1.0],"{""Ba"": 0.25, ""Sr"": 0.75, ""Ti"": 1.0, ""O"": 3.0}"
mp-1227710,BaSr4Ti5O15,Ba-O-Sr-Ti,Ba-O-Sr-Ti,A,1,False,0.005611855599992,1.001587660134561,1.0135784983192706,0.068,0.0,0.0,1.474,0.605,2.0,4.0,"[""Ba"", ""Sr""]","[0.2, 0.8]","[""Ti""]",[1.0],"{""Ba"": 0.2, ""Sr"": 0.8, ""Ti"": 1.0, ""O"": 3.0}"
mp-1099778,BaSr7Ti8O24,Ba-O-Sr-Ti,Ba-O-Sr-Ti,A,1,False,0.004088018499999,1.001587660134561,1.0090819340000046,0.0562222153601226,0.0,0.0,1.46125,0.605,2.0,4.0,"[""Ba"", ""Sr""]","[0.125, 0.875]","[""Ti""]",[1.0],"{""Ba"": 0.125, ""Sr"": 0.875, ""Ti"": 1.0, ""O"": 3.0}"
mp-1227336,BaSrTi2O6,Ba-O-Sr-Ti,Ba-O-Sr-Ti,A,1,False,0.008565442999982,1.0615418510581087,1.0315647555963348,0.085,0.0,0.0,1.525,0.605,2.0,4.0,"[""Ba"", ""Sr""]","[0.5, 0.5]","[""Ti""]",[1.0],"{""Ba"": 0.5, ""Sr"": 0.5, ""Ti"": 1.0, ""O"": 3.0}"
